17|평택하늘채|경기 평택시 고덕면 효덕새싹길 50|37.0191499553139|127.035642356641|23.0|2|1|0|11|3|0|0|1|3|0|24608949.0|8202983|98435796|2.0|0.0|0.0|5.0|3.0|0.0|0.0|1.0|3.0|0.0|91.26|2021-02-01|nan|영업|nan|3|3|23100000|1946|36672|291|3450000|9020|3080000
18|포승|경기도 평택시 포승읍 도곡리 1138-11|36.989073607913|126.846814755865|2.0|10|0|0|34|10|4|0|3|11|0|119254986.0|39751662|477019944|10.0|0.0|0.0|13.0|10.0|3.0|0.0|2.0|10.0|0.0|118.77|2000-02-25|nan|영업|nan|11|11|30700000|1990|39548|1605|3960000|7443|3070000
19|경기안중|경기 평택시 안중읍 안중로 115|36.9888662066805|126.929316996252|3.0|9|0|0|37|12|11|0|7|16|0|80925542.0|26975180|323702168|1.0|0.0|0.0|20.0|5.0|9.0|0.0|2.0|7.0|0.0|92.5|2009-06-19|nan|영업|nan|3|13|34750000|2052|77800|2070|3480000|5249|3220000
20|평택원평|경기도 평택시 평택동 175-3|36.98986046976|127.084207879004|4.0|6|0|1|54|26|19|1|2|7|0|167314997.0|55771665|669259988|3.0|0.0|0.0|22.0|13.0|9.0|1.0|2.0|5.0|0.0|99.8|2011-09-02|nan|영업|nan|15|35|21200000|1754|224887|4638|3300000|10891|2900000
21|평택중앙|경기도 평택시 평택2로 11|36.9927535309675|127.087756670329|6.0|4|0|0|67|32|28|1|11|6|0|135733747.0|45244582|542934991|3.0|0.0|0.0|26.0|17.0|12.0|1.0|0.0|3.0|0.0|56.0|2010-08-16|nan|영업|nan|25|37|20310000|1673|325929|8814|3360000|9940|3060000
22|평택여중|경기도 평택시 중앙로 160 합정동 1층|36.9920529512012|127.100576889783|7.0|7|0|2|56|40|17|0|12|26|0|3482874.0|1160958|13931498|1.0|0.0|0.0|14.0|12.0|10.0|0.0|4.0|5.0|0.0|141.0|2007-07-19|nan|영업|nan|5|18|23770000|1880|89335|3551|3440000|9594|3200000
23|평택비전|경기도 평택시 평남로 705 비전동 1층|36.994399390876|127.112502591981|8.0|9|0|3|71|46|12|0|10|32|0|66603254.0|22201084|266413016|3.0|0.0|1.0|19.0|17.0|1.0|0.0|1.0|9.0|0.0|89.26|1994-10-31|nan|영업|nan|9|34|24410000|1944|138707|2872|3440000|15077|3200000
24|평택용죽|경기도 평택시 용이동 685-4|36.9933514281481|127.125707596739|9.0|12|0|1|40|22|3|0|7|43|0|73517179.0|24505726|294068716|7.0|0.0|0.0|7.0|5.0|0.0|0.0|2.0|26.0|0.0|79.65|2009-06-22|nan|영업|nan|6|14|44120000|3557|83411|346|3460000|11328|3250000
25|평택덕동|경기도 평택시 평택4로 103|36.9970544344748|127.102551006655|10.0|6|0|2|69|38|15|0|17|19|0|72248569.0|24082856|288994277|0.0|0.0|0.0|16.0|13.0|4.0|0.0|3.0|1.0|0.0|83.85|2018-07-13|nan|영업|nan|1|43|29030000|2410|43119|1542|3440000|9391|3200000
26|평택푸르지오|경기도 평택시 현신4길 28 용이동|36.9967254279681|127.140581675081|12.0|12|0|0|51|12|2|0|4|31|0|99190553.0|33063517|396762213|4.0|0.0|0.0|18.0|3.0|1.0|0.0|0.0|5.0|0.0|53.87|2000-08-17|nan|영업|nan|7|17|27010000|2048|183802|1016|3440000|10900|3230000
27|평택현촌|경기 평택시 현촌4길 2-41|36.9991236812292|127.133217034525|14.0|11|0|0|47|9|1|0|4|46|0|71070068.0|23690022|284280272|4.0|0.0|0.0|15.0|3.0|1.0|0.0|2.0|12.0|0.0|95.63|2010-06-07|nan|영업|nan|4|14|27450000|2057|9459|642|3480000|10866|3360000
28|병점제일|경기 화성시 병점2로 79 1층|37.2086029736985|127.044797038977|90.0|5|0|2|92|36|4|0|10|27|0|130060149.0|43353383|520240598|0.0|0.0|1.0|22.0|9.0|0.0|0.0|6.0|1.0|0.0|82.84|2005-04-28|nan|영업|nan|5|30|31720000|2771|41326|1793|3540000|18082|3530000
